order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
VIRTUAL-00025,,,,VIRTUAL_PC,PC,1400.0,1.733,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,50,1400.0,1.467,PC,0.0,False,False,False,False,False,False,50,50,50,50,50,大辊线,False,False,False
0030082156-000460#M0632-L01,0030082156-000460,0030082156-000460,0030082156-000460-L01,HC340/590DP,DP,1400.0,2.0,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,51,1400.0,1.733,PC,0.0,False,False,False,True,False,False,51,51,51,51,51,大辊线,False,False,False
0030082156-000450#M0653-L01,0030082156-000450,0030082156-000450,0030082156-000450-L01,HC340/590DP,DP,1385.0,2.0,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,52,1400.0,2.0,DP,15.0,False,False,False,False,False,False,52,52,52,52,52,大辊线,False,False,False
VIRTUAL-00026,,,,VIRTUAL_PC,PC,1376.7,1.667,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,53,1385.0,2.0,DP,8.299999999999955,False,False,False,True,False,False,53,53,53,53,53,大辊线,False,False,False
VIRTUAL-00027,,,,VIRTUAL_PC,PC,1368.3,1.333,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,54,1376.7,1.667,PC,8.400000000000091,False,False,False,False,False,False,54,54,54,54,54,大辊线,False,False,False
0030084911-000010#M0206-L01,0030084911-000010,0030084911-000010,0030084911-000010-L01,HC340/590DP,DP,1360.0,1.0,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,55,1368.3,1.333,PC,8.299999999999955,False,False,False,True,False,False,55,55,55,55,55,大辊线,False,False,False
0030085175-000080#M0146-L01,0030085175-000080,0030085175-000080,0030085175-000080-L01,HC340/590DP,DP,1360.0,1.2,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,56,1360.0,1.0,DP,0.0,False,False,False,False,False,False,56,56,56,56,56,大辊线,False,False,False
VIRTUAL-00028,,,,VIRTUAL_PC,PC,1358.3,1.467,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,57,1360.0,1.2,DP,1.7000000000000455,False,False,False,True,False,False,57,57,57,57,57,大辊线,False,False,False
VIRTUAL-00029,,,,VIRTUAL_PC,PC,1356.7,1.733,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,58,1358.3,1.467,PC,1.599999999999909,False,False,False,False,False,False,58,58,58,58,58,大辊线,False,False,False
0030082156-000440#M0650-L01,0030082156-000440,0030082156-000440,0030082156-000440-L01,HC340/590DP,DP,1355.0,2.0,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,59,1356.7,1.733,PC,1.7000000000000455,False,False,False,True,False,False,59,59,59,59,59,大辊线,False,False,False
