order_id,source_order_id,parent_order_id,lot_id,assigned_line,assigned_slot,slot_no,master_slot,campaign_no,campaign_id,campaign_id_hint,block_id,block_in_slot_index,sequence_in_block,sequence_in_slot,global_sequence_on_line,selected_edge_type,line,line_name,campaign_seq,campaign_real_seq,tons,width,thickness,grade,steel_group,temp_min,temp_max,temp_mean,backlog,due_date,due_bucket,mixed_bridge_applied,is_virtual,inter_block_boundary_before,boundary_from_block_id,boundary_to_block_id,boundary_edge_type,global_seq,line_seq,master_seq,is_unassigned,force_break_before,selected_template_id,selected_bridge_path,engine_used
0020049966-000030,0020049966-000030,0020049966-000030,0020049966-000030,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,13,13,13,DIRECT_EDGE,big_roll,大辊线,13,13,24.0,1500.0,1.15,DC01-D,普碳,770.0,850.0,810.0,26.0,2025-10-31,overdue,False,False,False,,,,13,13,13,0,0,,,block_first
0020049276-000010,0020049276-000010,0020049276-000010,0020049276-000010,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,14,14,14,DIRECT_EDGE,big_roll,大辊线,14,14,24.0,1500.0,1.13,SPCC,普碳,770.0,850.0,810.0,8.9,2025-10-31,overdue,False,False,False,,,,14,14,14,0,0,,,block_first
0020049983-000080,0020049983-000080,0020049983-000080,0020049983-000080,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,15,15,15,DIRECT_EDGE,big_roll,大辊线,15,15,24.0,1500.0,1.1,DC01,普碳,770.0,850.0,810.0,78.0,2025-10-31,overdue,False,False,False,,,,15,15,15,0,0,,,block_first
0020049966-000020,0020049966-000020,0020049966-000020,0020049966-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,16,16,16,DIRECT_EDGE,big_roll,大辊线,16,16,24.0,1500.0,1.1,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,16,16,16,0,0,,,block_first
0020049964-000020,0020049964-000020,0020049964-000020,0020049964-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,17,17,17,DIRECT_EDGE,big_roll,大辊线,17,17,24.0,1500.0,1.1,DC01-D,普碳,770.0,850.0,810.0,29.16,2025-10-31,overdue,False,False,False,,,,17,17,17,0,0,,,block_first
0030083518-000620,0030083518-000620,0030083518-000620,0030083518-000620,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,1,1,18,DIRECT_EDGE,big_roll,大辊线,1,1,24.0,1400.0,1.8,T280VK,双相钢,770.0,790.0,780.0,26.0,2025-10-31,overdue,False,False,False,,,,18,18,1,0,0,,,block_first
0030085644-000020,0030085644-000020,0030085644-000020,0030085644-000020,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,2,2,19,DIRECT_EDGE,big_roll,大辊线,2,2,24.0,1353.0,1.6,T280VK,双相钢,770.0,790.0,780.0,22.0,2025-10-31,overdue,False,False,False,,,,19,19,2,0,0,,,block_first
0030085350-000160,0030085350-000160,0030085350-000160,0030085350-000160,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,3,3,20,DIRECT_EDGE,big_roll,大辊线,3,3,22.5,1300.0,1.8,HC340/590DP,双相钢,770.0,790.0,780.0,24.0,2025-10-31,overdue,False,False,False,,,,20,20,3,0,0,,,block_first
0030082964-000130,0030082964-000130,0030082964-000130,0030082964-000130,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,4,4,21,DIRECT_EDGE,big_roll,大辊线,4,4,21.5,1250.0,1.6,HC340/590DP,双相钢,770.0,790.0,780.0,48.0,2025-10-31,overdue,False,False,False,,,,21,21,4,0,0,,,block_first
0030082156-000310,0030082156-000310,0030082156-000310,0030082156-000310,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,5,5,22,DIRECT_EDGE,big_roll,大辊线,5,5,21.5,1200.0,1.6,HC340/590DP,双相钢,770.0,790.0,780.0,24.0,2025-10-31,overdue,False,False,False,,,,22,22,5,0,0,,,block_first
