order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0020049965-000050,0020049965-000050,0020049965-000050,0020049965-000050,DC01-D,普碳,1500.0,1.2,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,30,1500.0,1.35,普碳,810.0,0.0,False,False,False,False,False,False,30,30,30,30,30,小辊线,False,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1500.0,1.2,820.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,31,1500.0,1.2,普碳,810.0,0.0,False,False,False,True,False,False,31,31,31,31,31,小辊线,False,False,False,False
0030084081-000040,0030084081-000040,0030084081-000040,0030084081-000040,HC220Y,加磷高强、烘烤硬化钢,1342.0,1.2,830.0,22.5,75.0,2025-10-31,小辊,small_only,1,overdue,0,small_roll,small_only,0.1875,0.23684210526315788,0.23684210526315788,False,False,1,32,1500.0,1.2,PC,820.0,158.0,False,False,False,True,False,False,32,32,32,32,32,小辊线,False,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1250.0,1.5,820.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,33,1342.0,1.2,加磷高强、烘烤硬化钢,830.0,92.0,False,False,False,True,False,False,33,33,33,33,33,小辊线,False,False,False,False
0020049982-000040,0020049982-000040,0020049982-000040,0020049982-000040,DC01,普碳,1250.0,1.8,810.0,21.5,195.7,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.17916666666666667,0.22631578947368422,0.22631578947368422,False,False,1,34,1250.0,1.5,PC,820.0,0.0,False,False,False,True,False,False,34,34,34,34,34,小辊线,False,False,False,False
VIRTUAL-00006,,,,VIRTUAL_PC,PC,1250.0,1.8,800.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,35,1250.0,1.8,普碳,810.0,0.0,False,False,False,True,False,False,35,35,35,35,35,小辊线,False,False,False,False
VIRTUAL-00007,,,,VIRTUAL_PC,PC,1250.0,1.8,790.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,36,1250.0,1.8,PC,800.0,0.0,False,False,False,False,False,False,36,36,36,36,36,小辊线,False,False,False,False
0030085309-000010,0030085309-000010,0030085309-000010,0030085309-000010,T1500HS,热成型钢,1210.0,1.8,782.5,21.5,96.0,2025-12-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.17916666666666667,0.22631578947368422,0.22631578947368422,False,False,1,37,1250.0,1.8,PC,790.0,40.0,False,False,False,True,False,False,37,37,37,37,37,小辊线,False,False,False,False
0030085364-000040,0030085364-000040,0030085364-000040,0030085364-000040,T1500HS,热成型钢,1448.0,1.6,782.5,24.0,78.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,38,1210.0,1.8,热成型钢,782.5,-238.0,True,False,False,False,False,False,38,38,38,38,38,小辊线,False,False,False,False
0030081238-000030,0030081238-000030,0030081238-000030,0030081238-000030,T1500HS,热成型钢,1600.0,1.4,782.5,24.0,78.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,39,1448.0,1.6,热成型钢,782.5,-152.0,True,False,False,False,False,False,39,39,39,39,39,小辊线,False,False,False,False
