order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030082156-000360#M688,0030082156-000360,HC340/590DP,DP,1150.0,2.0,840.0,21.5,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,8,989.5,False,23,1170.0,2.0,DP,20.0,False,False,False,False,False,False,23,23,2,大辊线,2
0020050289-000010#M245,0020050289-000010,DC01,PC,919.0,1.0,810.0,18.5,150.0,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,dual,9,989.5,False,24,,,,,False,False,False,False,False,False,24,24,1,大辊线,1
0020049282-000020#M606,0020049282-000020,DC01,PC,919.0,1.0,810.0,18.5,180.0,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,dual,9,989.5,False,25,919.0,1.0,PC,0.0,False,False,False,False,False,False,25,25,2,大辊线,2
0020049280-000030#M610,0020049280-000030,DC01,PC,919.0,1.0,810.0,18.5,210.0,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,dual,9,989.5,False,26,919.0,1.0,PC,0.0,False,False,False,False,False,False,26,26,3,大辊线,3
0020050288-000010#M242,0020050288-000010,DC01,PC,919.0,1.0,810.0,18.5,120.0,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,dual,9,989.5,False,27,919.0,1.0,PC,0.0,False,False,False,False,False,False,27,27,4,大辊线,4
0020049281-000030#M602,0020049281-000030,DC01,PC,919.0,1.0,810.0,18.5,172.92,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,dual,9,989.5,False,28,919.0,1.0,PC,0.0,False,False,False,False,False,False,28,28,5,大辊线,5
0020049085-000010#M701,0020049085-000010,DC01,PC,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1165.0,False,29,,,,,False,False,False,False,False,False,29,1,1,小辊线,1
0020049084-000040#M700,0020049084-000040,DC01,PC,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1165.0,False,30,1803.0,1.0,PC,0.0,False,False,False,False,False,False,30,2,2,小辊线,2
0020049084-000060#M698,0020049084-000060,DC01,PC,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1165.0,False,31,1803.0,0.9,PC,0.0,False,False,False,False,False,False,31,3,3,小辊线,3
0030084012-000010#M280,0030084012-000010,DC01,PC,1680.0,0.8,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1165.0,False,32,1803.0,1.0,PC,123.0,False,False,False,False,False,False,32,4,4,小辊线,4
