order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
VIRTUAL-00012,,,,VIRTUAL_PC,PC,1608.0,1.33,824.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,19,1611.0,1.54,PC,822.0,3.0,False,False,False,False,False,False,19,19,19,19,19,大辊线,False,False,False,False
VIRTUAL-00013,,,,VIRTUAL_PC,PC,1605.0,1.12,826.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,20,1608.0,1.33,PC,824.0,3.0,False,False,False,False,False,False,20,20,20,20,20,大辊线,False,False,False,False
VIRTUAL-00014,,,,VIRTUAL_PC,PC,1602.0,0.91,828.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,21,1605.0,1.12,PC,826.0,3.0,False,False,False,False,False,False,21,21,21,21,21,大辊线,False,False,False,False
0030085350-000080,0030085350-000080,0030085350-000080,0030085350-000080,DC05,IF钢,1599.0,0.7,830.0,24.0,104.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,22,1602.0,0.91,PC,828.0,3.0,False,False,False,True,False,False,22,22,22,22,22,大辊线,False,False,False,False
VIRTUAL-00015,,,,VIRTUAL_PC,PC,1595.2,0.825,822.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,23,1599.0,0.7,IF钢,830.0,3.7999999999999545,False,False,False,True,False,False,23,23,23,23,23,大辊线,False,False,False,False
VIRTUAL-00016,,,,VIRTUAL_PC,PC,1591.5,0.95,815.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,24,1595.2,0.825,PC,822.5,3.7000000000000455,False,False,False,False,False,False,24,24,24,24,24,大辊线,False,False,False,False
VIRTUAL-00017,,,,VIRTUAL_PC,PC,1587.8,1.075,807.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,25,1591.5,0.95,PC,815.0,3.7000000000000455,False,False,False,False,False,False,25,25,25,25,25,大辊线,False,False,False,False
0030084781-000010,0030084781-000010,0030084781-000010,0030084781-000010,HC340/590DP,双相钢,1584.0,1.2,800.0,24.0,104.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,26,1587.8,1.075,PC,807.5,3.7999999999999545,False,False,False,True,False,False,26,26,26,26,26,大辊线,False,False,False,False
VIRTUAL-00018,,,,VIRTUAL_PC,PC,1562.5,0.75,825.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,27,1584.0,1.2,双相钢,800.0,21.5,False,False,True,True,False,True,27,27,27,27,27,大辊线,False,False,False,False
0030085323-000050,0030085323-000050,0030085323-000050,0030085323-000050,DC04,IF钢,1543.0,0.8,820.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,28,1562.5,0.75,PC,825.0,19.5,False,False,False,True,False,False,28,28,28,28,28,大辊线,False,False,False,False
VIRTUAL-00019,,,,VIRTUAL_PC,PC,1542.5,1.0,813.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,29,1543.0,0.8,IF钢,820.0,0.5,False,False,False,True,False,False,29,29,29,29,29,大辊线,False,False,False,False
VIRTUAL-00020,,,,VIRTUAL_PC,PC,1542.0,1.2,806.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,30,1542.5,1.0,PC,813.3333333333334,0.5,False,False,False,False,False,False,30,30,30,30,30,大辊线,False,False,False,False
VIRTUAL-00021,,,,VIRTUAL_PC,PC,1541.5,1.4,800.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,31,1542.0,1.2,PC,806.6666666666666,0.5,False,False,False,False,False,False,31,31,31,31,31,大辊线,False,False,False,False
VIRTUAL-00022,,,,VIRTUAL_PC,PC,1541.0,1.6,793.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,32,1541.5,1.4,PC,800.0,0.5,False,False,False,False,False,False,32,32,32,32,32,大辊线,False,False,False,False
VIRTUAL-00023,,,,VIRTUAL_PC,PC,1540.5,1.8,786.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,33,1541.0,1.6,PC,793.3333333333334,0.5,False,False,False,False,False,False,33,33,33,33,33,大辊线,False,False,False,False
0030084750-000070,0030084750-000070,0030084750-000070,0030084750-000070,T280VK,双相钢,1540.0,2.0,780.0,24.0,104.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,34,1540.5,1.8,PC,786.6666666666666,0.5,False,False,False,True,False,False,34,34,34,34,34,大辊线,False,False,False,False
0030085175-000140,0030085175-000140,0030085175-000140,0030085175-000140,HC340/590DP,双相钢,1510.0,1.8,780.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,35,1540.0,2.0,双相钢,780.0,30.0,False,False,False,False,False,False,35,35,35,35,35,大辊线,False,False,False,False
VIRTUAL-00024,,,,VIRTUAL_PC,PC,1510.0,1.576,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,36,1510.0,1.8,双相钢,780.0,0.0,False,False,False,True,False,False,36,36,36,36,36,大辊线,False,False,False,False
VIRTUAL-00025,,,,VIRTUAL_PC,PC,1510.0,1.352,800.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,37,1510.0,1.576,PC,790.0,0.0,False,False,False,False,False,False,37,37,37,37,37,大辊线,False,False,False,False
VIRTUAL-00026,,,,VIRTUAL_PC,PC,1510.0,1.128,810.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,38,1510.0,1.352,PC,800.0,0.0,False,False,False,False,False,False,38,38,38,38,38,大辊线,False,False,False,False
VIRTUAL-00027,,,,VIRTUAL_PC,PC,1510.0,0.904,820.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,39,1510.0,1.128,PC,810.0,0.0,False,False,False,False,False,False,39,39,39,39,39,大辊线,False,False,False,False
0030086410-000020,0030086410-000020,0030086410-000020,0030086410-000020,DC04,IF钢,1510.0,0.68,830.0,24.0,52.0,2025-11-30,大辊,big_only,1,overdue,0,big_roll,big_only,0.24390243902439027,0.3080872913992298,0.24390243902439027,False,False,1,40,1510.0,0.904,PC,820.0,0.0,False,False,False,True,False,False,40,40,40,40,40,大辊线,False,False,False,False
VIRTUAL-00028,,,,VIRTUAL_PC,PC,1500.0,0.7,805.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,41,1510.0,0.68,IF钢,830.0,10.0,False,False,False,True,False,True,41,41,41,41,41,大辊线,False,False,False,False
0020049965-000070,0020049965-000070,0020049965-000070,0020049965-000070,DC01-D,普碳,1500.0,0.6,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,big_roll,dual,0.24390243902439027,0.3080872913992298,0.24390243902439027,False,False,1,42,1500.0,0.7,PC,805.0,0.0,False,False,False,True,False,False,42,42,42,42,42,大辊线,False,False,False,False
0030084505-000050,0030084505-000050,0030084505-000050,0030084505-000050,T280VK,双相钢,1442.0,0.7,800.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,43,1500.0,0.6,普碳,810.0,58.0,False,False,False,True,False,False,43,43,43,43,43,大辊线,False,False,False,False
VIRTUAL-00029,,,,VIRTUAL_PC,PC,1436.2,1.0,795.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,44,1442.0,0.7,双相钢,800.0,5.7999999999999545,False,False,True,True,False,False,44,44,44,44,44,大辊线,False,False,False,False
VIRTUAL-00030,,,,VIRTUAL_PC,PC,1435.5,1.2,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,45,1436.2,1.0,PC,795.0,0.7000000000000455,False,False,False,False,False,False,45,45,45,45,45,大辊线,False,False,False,False
VIRTUAL-00031,,,,VIRTUAL_PC,PC,1434.8,1.4,785.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,46,1435.5,1.2,PC,790.0,0.7000000000000455,False,False,False,False,False,False,46,46,46,46,46,大辊线,False,False,False,False
0030084750-000020,0030084750-000020,0030084750-000020,0030084750-000020,HC340/590DP,双相钢,1434.0,1.6,780.0,24.0,104.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,47,1434.8,1.4,PC,785.0,0.7999999999999545,False,False,False,True,False,False,47,47,47,47,47,大辊线,False,False,False,False
VIRTUAL-00032,,,,VIRTUAL_PC,PC,1400.0,1.6,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,48,1434.0,1.6,双相钢,780.0,34.0,False,False,False,True,False,False,48,48,48,48,48,大辊线,False,False,False,False
0030085350-000150,0030085350-000150,0030085350-000150,0030085350-000150,HC340/590DP,双相钢,1400.0,1.2,800.0,24.0,78.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,49,1400.0,1.6,PC,790.0,0.0,False,False,False,True,False,False,49,49,49,49,49,大辊线,False,False,False,False
0030085651-000030,0030085651-000030,0030085651-000030,0030085651-000030,HC340/590DP,双相钢,1400.0,1.2,800.0,24.0,88.0,2025-10-25,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,50,1400.0,1.2,双相钢,800.0,0.0,False,False,False,False,False,False,50,50,50,50,50,大辊线,False,False,False,False
VIRTUAL-00033,,,,VIRTUAL_PC,PC,1377.0,0.7,830.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,51,1400.0,1.2,双相钢,800.0,23.0,False,False,True,True,False,True,51,51,51,51,51,大辊线,False,False,False,False
0030085341-000010,0030085341-000010,0030085341-000010,0030085341-000010,DC05,IF钢,1374.0,0.6,830.0,24.0,182.0,2025-11-30,大辊,big_only,1,overdue,0,big_roll,big_only,0.24390243902439027,0.3080872913992298,0.24390243902439027,False,False,1,52,1377.0,0.7,PC,830.0,3.0,False,False,False,True,False,False,52,52,52,52,52,大辊线,False,False,False,False
