order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030084750-000020#M212,0030084750-000020,HC340/590DP,DP,1434.0,1.6,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,28,1510.0,1.8,DP,76.0,False,False,False,False,False,False,19,19,19,大轧线,19
0030082156-000450#M653,0030082156-000450,HC340/590DP,DP,1385.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,30,1434.0,1.6,DP,49.0,False,False,False,False,False,False,20,20,20,大轧线,20
0030082156-000440#M650,0030082156-000440,HC340/590DP,DP,1355.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,31,1385.0,2.0,DP,30.0,False,False,False,False,False,False,21,21,21,大轧线,21
0030082156-000420#M640,0030082156-000420,HC340/590DP,DP,1300.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,32,1355.0,2.0,DP,55.0,False,False,False,False,False,False,22,22,22,大轧线,22
0030082156-000460#M632,0030082156-000460,HC340/590DP,DP,1400.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,34,1300.0,2.0,DP,-100.0,True,False,False,False,False,False,23,23,23,大轧线,23
0030085350-000150#M164,0030085350-000150,HC340/590DP,DP,1400.0,1.2,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,36,1400.0,2.0,DP,0.0,False,False,True,False,False,False,24,24,24,大轧线,24
0030084062-000010#M396,0030084062-000010,HC180Y,BH,1353.0,0.7,835.0,24.0,130.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,38,1400.0,1.2,DP,47.0,False,False,True,False,True,True,25,25,25,大轧线,25
0030085176-000010#M110,0030085176-000010,HC180Y,BH,1440.0,0.7,835.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,40,1353.0,0.7,BH,-87.0,True,False,False,False,False,False,26,26,26,大轧线,26
0030082156-000080#M656,0030082156-000080,HC340/590DP,DP,1450.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,42,1440.0,0.7,BH,-10.0,True,False,True,False,True,True,27,27,27,大轧线,27
0030084081-000050#M358,0030084081-000050,HC340/590DP,DP,1437.0,0.8,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,43,1450.0,1.0,DP,13.0,False,False,False,False,False,False,28,28,28,大轧线,28
0030084911-000010#M206,0030084911-000010,HC340/590DP,DP,1360.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,44,1437.0,0.8,DP,77.0,False,False,False,False,False,False,29,29,29,大轧线,29
0030085175-000080#M146,0030085175-000080,HC340/590DP,DP,1360.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,45,1360.0,1.0,DP,0.0,False,False,False,False,False,False,30,30,30,大轧线,30
