order_id,grade,steel_group,width,thickness,temp_max,temp_min,temp_mean,tons,backlog,due_date,due_sort,width_cluster,seq,prev_width,prev_thickness,prev_group,width_jump,thickness_diff,group_switch,narrow_to_wide,width_jump_violation,thickness_violation,temp_overlap_ok,non_pc_direct_switch,campaign_id,campaign_tons
0030084750-000060,HC340/590DP,双相钢,1215,2.5,790,770,780.0,21.5,96.0,2025-10-31,2025-10-31,1,30,1250.0,2.0,双相钢,35.0,0.5,False,False,False,False,True,False,1,839.5
0030085175-000150,HC340/590DP,双相钢,1200,2.0,790,770,780.0,21.5,72.0,2025-10-31,2025-10-31,1,31,1215.0,2.5,双相钢,15.0,0.5,False,False,False,False,True,False,1,839.5
0030082156-000390,HC340/590DP,双相钢,1200,2.0,790,770,780.0,21.5,96.0,2025-10-31,2025-10-31,1,32,1200.0,2.0,双相钢,0.0,0.0,False,False,False,False,True,False,1,839.5
0030082156-000380,HC340/590DP,双相钢,1185,2.0,790,770,780.0,21.5,96.0,2025-10-31,2025-10-31,1,33,1200.0,2.0,双相钢,15.0,0.0,False,False,False,False,True,False,1,839.5
0030082156-000370,HC340/590DP,双相钢,1170,2.0,790,770,780.0,21.5,96.0,2025-10-31,2025-10-31,1,34,1185.0,2.0,双相钢,15.0,0.0,False,False,False,False,True,False,1,839.5
0030082156-000360,HC340/590DP,双相钢,1150,2.0,790,770,780.0,21.5,88.0,2025-10-31,2025-10-31,0,35,1170.0,2.0,双相钢,20.0,0.0,False,False,False,False,True,False,1,839.5
0030084750-000070,T280VK,双相钢,1540,2.0,790,770,780.0,24.0,104.0,2025-10-31,2025-10-31,7,36,1150.0,2.0,双相钢,-390.0,0.0,False,True,False,False,True,False,1,839.5
0020050276-000070,DC01,普碳,1500,1.8,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,37,1540.0,2.0,双相钢,40.0,0.19999999999999996,True,False,False,False,True,False,2,767.5
0020050208-000090,DC01,普碳,1500,2.0,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,38,1500.0,1.8,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,2,767.5
0020049964-000070,DC01-D,普碳,1500,1.5,850,770,810.0,24.0,182.0,2025-10-31,2025-10-31,5,39,1500.0,2.0,普碳,0.0,0.5,False,False,False,False,True,False,2,767.5
0020049981-000020,DC01,普碳,1500,1.2,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,40,1500.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,2,767.5
0020050208-000050,DC01,普碳,1500,1.5,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,41,1500.0,1.2,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,2,767.5
0020049964-000100,DC01-D,普碳,1500,1.8,850,770,810.0,24.0,182.0,2025-10-31,2025-10-31,5,42,1500.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,2,767.5
0020050276-000020,DC01,普碳,1500,1.8,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,43,1500.0,1.8,普碳,0.0,0.0,False,False,False,False,True,False,2,767.5
0020049983-000130,DC01,普碳,1500,1.5,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,44,1500.0,1.8,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,2,767.5
0020049965-000050,DC01-D,普碳,1500,1.2,850,770,810.0,24.0,130.0,2025-10-31,2025-10-31,5,45,1500.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,2,767.5
0020050276-000050,DC01,普碳,1500,1.2,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,46,1500.0,1.2,普碳,0.0,0.0,False,False,False,False,True,False,2,767.5
0020049964-000030,DC01-D,普碳,1500,1.15,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,47,1500.0,1.2,普碳,0.0,0.050000000000000044,False,False,False,False,True,False,2,767.5
0020049983-000060,DC01,普碳,1500,0.9,850,770,810.0,24.0,121.98,2025-10-31,2025-10-31,5,48,1500.0,1.15,普碳,0.0,0.2499999999999999,False,False,False,False,True,False,2,767.5
0030084081-000020,DC05,IF钢,1390,0.65,845,815,830.0,24.0,156.0,2025-10-31,2025-10-31,4,49,1500.0,0.9,普碳,110.0,0.25,True,False,False,False,True,False,2,767.5
0030083932-000020,DC06,IF钢,1380,0.8,845,815,830.0,24.0,72.32,2025-10-31,2025-10-31,4,50,1390.0,0.65,IF钢,10.0,0.15000000000000002,False,False,False,False,True,False,2,767.5
0030085341-000010,DC05,IF钢,1374,0.6,845,815,830.0,24.0,182.0,2025-11-30,2025-11-30,4,51,1380.0,0.8,IF钢,6.0,0.20000000000000007,False,False,False,True,True,False,2,767.5
0030084950-000030,DC06,IF钢,1310,0.7,845,815,830.0,22.5,75.0,2025-10-31,2025-10-31,3,52,1374.0,0.6,IF钢,64.0,0.09999999999999998,False,False,False,False,True,False,2,767.5
0030084752-000010,DC06,IF钢,1283,0.65,845,815,830.0,22.5,75.0,2025-11-30,2025-11-30,3,53,1310.0,0.7,IF钢,27.0,0.04999999999999993,False,False,False,False,True,False,2,767.5
0030084637-000010,DC05,IF钢,1250,0.6,845,815,830.0,21.5,84.7,2025-10-31,2025-10-31,2,54,1283.0,0.65,IF钢,33.0,0.050000000000000044,False,False,False,False,True,False,2,767.5
0030083118-000050,DC05,IF钢,1250,0.71,845,815,830.0,21.5,73.28,2025-10-31,2025-10-31,2,55,1250.0,0.6,IF钢,0.0,0.10999999999999999,False,False,False,False,True,False,2,767.5
0030083932-000030,DC06,IF钢,1240,0.8,845,815,830.0,21.5,72.0,2025-10-31,2025-10-31,2,56,1250.0,0.71,IF钢,10.0,0.09000000000000008,False,False,False,False,True,False,2,767.5
